submissionId,userId,userName,projectName,firstLine,month,day,currentWeekOfIso,targetYear,reviewerDecision
cmqqytc0n0010stjkxoet5krq,import-garrett-hayes,Garrett Hayes,Adobe ELA,4/7: Recompete FY26-27 FITARA Submitted for review 3/31/26,4,7,2025-04-08T21:00:00.000Z,2025,
cmqqytc06000ystjkrto4t0y3,import-garrett-hayes,Garrett Hayes,Adobe ELA,5/19:,5,19,2025-05-20T21:00:00.000Z,2025,
cmqqytbzr000wstjkggtxokip,import-garrett-hayes,Garrett Hayes,Adobe ELA,6/1:,6,1,2025-06-03T21:00:00.000Z,2025,
cmqqytec800ctstjkqa85lw1u,import-shela-poke-williams,Shela Poke-Williams,Agile Decision Sciences,1/28:,1,28,2025-01-28T22:00:00.000Z,2025,
cmqqyteck00cvstjk67j1krij,import-shela-poke-williams,Shela Poke-Williams,Agile Decision Sciences,2/10:,2,10,2025-02-11T22:00:00.000Z,2025,
cmqqytecx00cxstjktm4gawj1,import-shela-poke-williams,Shela Poke-Williams,Agile Decision Sciences,2/24:,2,24,2025-02-25T22:00:00.000Z,2025,
cmqqytedm00d1stjk20tx8532,import-shela-poke-williams,Shela Poke-Williams,Agile Decision Sciences,3/24,3,24,2025-03-25T21:00:00.000Z,2025,
cmqqytedb00czstjk4804q0cx,import-shela-poke-williams,Shela Poke-Williams,Agile Decision Sciences,3/9,3,9,2025-03-11T21:00:00.000Z,2025,
cmqqytedw00d3stjk0416dcmt,import-shela-poke-williams,Shela Poke-Williams,Agile Decision Sciences,4/09,4,9,2025-04-22T21:00:00.000Z,2025,
cmqqytee700d5stjk4nui5n66,import-shela-poke-williams,Shela Poke-Williams,Agile Decision Sciences,4/21,4,21,2025-04-22T21:00:00.000Z,2025,
cmqqyteej00d7stjkx0jkxc6d,import-shela-poke-williams,Shela Poke-Williams,Agile Decision Sciences,4/30,4,30,2025-05-06T21:00:00.000Z,2025,
cmqqyteet00d9stjkyqzxokmb,import-shela-poke-williams,Shela Poke-Williams,Agile Decision Sciences,5/19,5,19,2025-05-20T21:00:00.000Z,2025,
cmqqytebv00crstjke4kc0v9w,import-shela-poke-williams,Shela Poke-Williams,Agile Decision Sciences,6/10,6,10,2025-06-17T21:00:00.000Z,2025,
cmqqxvy02004xkj72sdvqnu4g,import-jake-beja,Jake Beja,AT&T (via EMDC) (call order),01/29:,1,29,2025-02-11T22:00:00.000Z,2025,
cmqqxvxzx004vkj722s9fba11,import-jake-beja,Jake Beja,AT&T (via EMDC) (call order),02/10:,2,10,2025-02-11T22:00:00.000Z,2025,
cmqqxvxzq004tkj7259av8plo,import-jake-beja,Jake Beja,AT&T (via EMDC) (call order),02/27:,2,27,2025-03-11T21:00:00.000Z,2025,
cmqqxvxzk004rkj720p4kncts,import-jake-beja,Jake Beja,AT&T (via EMDC) (call order),03/27:,3,27,2025-04-08T21:00:00.000Z,2025,
cmqqxvxzf004pkj72lg8txx3o,import-jake-beja,Jake Beja,AT&T (via EMDC) (call order),04/08:,4,8,2025-04-08T21:00:00.000Z,2025,
cmqqxvxyy004jkj724k8f5s50,import-jake-beja,Jake Beja,AT&T (via EMDC) (call order),04/23:,4,23,2025-05-06T21:00:00.000Z,2025,
cmqqxvxym004fkj72urboaihv,import-jake-beja,Jake Beja,AT&T (via EMDC) (call order),05/04:,5,4,2025-05-06T21:00:00.000Z,2025,
cmqqxvxyb004bkj722f6lmftb,import-jake-beja,Jake Beja,AT&T (via EMDC) (call order),05/20:,5,20,2025-05-20T21:00:00.000Z,2025,
cmqqxvxxb003zkj72bmdjna8b,import-jake-beja,Jake Beja,AT&T (via EMDC) (call order),06/02:,6,2,2025-06-03T21:00:00.000Z,2025,
cmqqxvy0t0057kj72gk9310uv,import-jake-beja,Jake Beja,AT&T (via EMDC) (call order),10/07:,10,7,2025-10-07T21:00:00.000Z,2025,
cmqqxvy0o0055kj72nw0l4zqv,import-jake-beja,Jake Beja,AT&T (via EMDC) (call order),10/21:,10,21,2025-10-21T21:00:00.000Z,2025,
cmqqxvy0i0053kj72b7st51q3,import-jake-beja,Jake Beja,AT&T (via EMDC) (call order),11/03:,11,3,2025-11-04T22:00:00.000Z,2025,
cmqqxvy0c0051kj720a3yzxvx,import-jake-beja,Jake Beja,AT&T (via EMDC) (call order),11/18:,11,18,2025-11-18T22:00:00.000Z,2025,
cmqqxvy08004zkj72whviaf0q,import-jake-beja,Jake Beja,AT&T (via EMDC) (call order),12/29:,12,29,2025-12-30T22:00:00.000Z,2025,
cmqqytefy00destjk92yfnl1p,import-shela-poke-williams,Shela Poke-Williams,Daycom,01/28:,1,28,2025-01-28T22:00:00.000Z,2025,
cmqqyteg500dgstjkdw0in33k,import-shela-poke-williams,Shela Poke-Williams,Daycom,2/10:,2,10,2025-02-11T22:00:00.000Z,2025,
cmqqytegg00distjk7j98iu0v,import-shela-poke-williams,Shela Poke-Williams,Daycom,2/24:,2,24,2025-02-25T22:00:00.000Z,2025,
cmqqytehc00dostjknyf48k81,import-shela-poke-williams,Shela Poke-Williams,Daycom,3/24,3,24,2025-03-25T21:00:00.000Z,2025,
cmqqytegr00dkstjkhfq53zq4,import-shela-poke-williams,Shela Poke-Williams,Daycom,3/9,3,9,2025-03-11T21:00:00.000Z,2025,
cmqqyteho00dqstjk96rdnu8v,import-shela-poke-williams,Shela Poke-Williams,Daycom,4/09,4,9,2025-04-22T21:00:00.000Z,2025,
cmqqytehy00dsstjk8q44bipn,import-shela-poke-williams,Shela Poke-Williams,Daycom,4/21,4,21,2025-04-22T21:00:00.000Z,2025,
cmqqytei800dustjktzbwwib6,import-shela-poke-williams,Shela Poke-Williams,Daycom,4/30,4,30,2025-05-06T21:00:00.000Z,2025,
cmqqyteih00dwstjkvaefesvm,import-shela-poke-williams,Shela Poke-Williams,Daycom,5/19,5,19,2025-05-20T21:00:00.000Z,2025,
cmqqytefp00dcstjkgzqs7wm1,import-shela-poke-williams,Shela Poke-Williams,Daycom,6/10,6,10,2025-06-17T21:00:00.000Z,2025,
cmqr0r2br002aq4elsucjki1s,import-adam-vanenwyck,Adam VanEnwyck,eBusiness,01/05:,1,5,2025-01-14T22:00:00.000Z,2025,
cmqr0r2bz002cq4eleecbpvgo,import-adam-vanenwyck,Adam VanEnwyck,eBusiness,01/29:,1,29,2025-02-11T22:00:00.000Z,2025,
cmqr0r2aw0022q4elmrnlrx3d,import-adam-vanenwyck,Adam VanEnwyck,eBusiness,02/17:,2,17,2025-02-25T22:00:00.000Z,2025,
cmqr0r2ap0020q4eltci23h7y,import-adam-vanenwyck,Adam VanEnwyck,eBusiness,03/02:,3,2,2025-03-11T21:00:00.000Z,2025,
cmqr0r2ah001yq4eld2dm42va,import-adam-vanenwyck,Adam VanEnwyck,eBusiness,03/24:,3,24,2025-03-25T21:00:00.000Z,2025,
cmqr0r2ab001wq4elwl9dglsb,import-adam-vanenwyck,Adam VanEnwyck,eBusiness,04/07:,4,7,2025-04-08T21:00:00.000Z,2025,
cmqr0r2a5001uq4el6jddjrfk,import-adam-vanenwyck,Adam VanEnwyck,eBusiness,04/21:,4,21,2025-04-22T21:00:00.000Z,2025,
cmqr0r29y001sq4el75kk31ed,import-adam-vanenwyck,Adam VanEnwyck,eBusiness,05/04:,5,4,2025-05-06T21:00:00.000Z,2025,
cmqr0r29s001qq4eluwdct1q2,import-adam-vanenwyck,Adam VanEnwyck,eBusiness,06/01:,6,1,2025-06-03T21:00:00.000Z,2025,
cmqr0r2b60024q4eldth2z08g,import-adam-vanenwyck,Adam VanEnwyck,eBusiness,10/06:,10,6,2025-10-07T21:00:00.000Z,2025,
cmqr0r2bc0026q4elp2f0h6ho,import-adam-vanenwyck,Adam VanEnwyck,eBusiness,10/21:,10,21,2025-10-21T21:00:00.000Z,2025,
cmqr0r2bk0028q4el00snxp60,import-adam-vanenwyck,Adam VanEnwyck,eBusiness,11/03:,11,3,2025-11-04T22:00:00.000Z,2025,
cmqqxvxq1002bkj725apjvzgn,cmpx2emsj0001788vfgr7eaal,Sergey Minchenkov,EIS,01/29:,1,29,2025-02-11T22:00:00.000Z,2025,
